1, 705, 105, 1,
1, 755, 105, 1,
1, 705, 155, 1,
1, 755, 155, 1,
1, 155, 255, 1,
1, 205, 255, 1,
1, 255, 255, 1,
1, 305, 255, 1,
1, 355, 255, 1,
1, 705, 255, 1,
1, 755, 255, 1,
1, 1105, 255, 1,
1, 1155, 255, 1,
1, 1205, 255, 1,
1, 1255, 255, 1,
1, 1305, 255, 1,
1, 355, 305, 1,
1, 405, 305, 1,
1, 455, 305, 1,
1, 505, 305, 1,
1, 555, 305, 1,
1, 605, 305, 1,
1, 655, 305, 1,
1, 705, 305, 1,
1, 755, 305, 1,
1, 805, 305, 1,
1, 855, 305, 1,
1, 905, 305, 1,
1, 955, 305, 1,
1, 1005, 305, 1,
1, 1055, 305, 1,
1, 1105, 305, 1,
1, 355, 355, 1,
1, 405, 355, 1,
1, 455, 355, 1,
1, 505, 355, 1,
1, 555, 355, 1,
1, 605, 355, 1,
1, 655, 355, 1,
1, 705, 355, 1,
1, 755, 355, 1,
1, 805, 355, 1,
1, 855, 355, 1,
1, 905, 355, 1,
1, 955, 355, 1,
1, 1005, 355, 1,
1, 1055, 355, 1,
1, 1105, 355, 1,
1, 355, 405, 1,
1, 705, 405, 1,
1, 755, 405, 1,
1, 1105, 405, 1,
1, 155, 455, 1,
1, 205, 455, 1,
1, 255, 455, 1,
1, 305, 455, 1,
1, 355, 455, 1,
1, 1105, 455, 1,
1, 1155, 455, 1,
1, 1205, 455, 1,
1, 1255, 455, 1,
1, 1305, 455, 1,
1, 705, 505, 1,
1, 755, 505, 1,
1, 705, 555, 1,
1, 755, 555, 1,
end;сгенерировать карту
